date,Froment,Seigle,Orge,Avoine
01 juin 1566,11.75,9,8,7.75
03 juillet 1566,18,8,5,6.25
03 août 1566,11,4,2.56,5
04 septembre 1566,8.33,4.25,3.25,4.38
02 octobre 1566,8.25,4,3.75,5.25
02 novembre 1566,7.25,4.38,3.63,5
04 décembre 1566,7.88,4.25,3.75,4.75
01 janvier 1567,7.75,4.5,3.75,4.63
01 février 1567,7.17,3.88,3.5,4.25
01 mars 1567,6.75,3.5,3.25,4.25
02 avril 1567,6,3.5,3.5,3.88
03 mai 1567,5.5,3.75,2.75,4
04 juin 1567,6.17,3.75,3.38,4.25
02 juillet 1567,6.1,4.13,3,4.75
02 août 1567,7.75,4,3.63,5.88
03 septembre 1567,7,4.25,3.63,6
01 octobre 1567,8.5,6.25,4.75,7
05 novembre 1567,15,8.75,6.5,9.5
03 décembre 1567,10,6.5,5,8.25
03 janvier 1568,9,6.38,5.5,7
04 février 1568,9,6.25,5.25,6.88
03 mars 1568,9.25,6.25,6,7.25
03 avril 1568,11.63,8.5,7.25,7
01 mai 1568,11.25,6.25,6,6.75
02 juin 1568,8,3.38,3.63,6.25
03 juillet 1568,6,2.75,2.25,4.5
04 août 1568,5.13,2.4,1.9,3.88
01 septembre 1568,5.25,2.5,1.8,4
02 octobre 1568,5.42,3,1.9,4.6
03 novembre 1568,4.88,2.8,2.1,4.5
01 décembre 1568,5.25,2.25,1.9,4.5
01 janvier 1569,4.75,2.5,2,4
01 février 1569,4.88,2.8,2.1,4.3
02 mars 1569,5.5,3,2.2,4.3
02 avril 1569,5.54,3,2.5,4.25
04 mai 1569,5.75,2.8,3,4.25
01 juin 1569,6,3.6,3,4.25
02 juillet 1569,5.83,2.8,2.7,3.75
03 août 1569,5.75,3,2.25,3.5
03 septembre 1569,6,3.5,2.1,3.1
01 octobre 1569,5.92,3.5,2.2,3.5
02 novembre 1569,5.25,3.5,2.5,3.35
03 décembre 1569,5.63,3.15,2.3,3.35
04 janvier 1570,5.38,3.5,2.3,3.25
01 février 1570,5.65,3,2.3,3.6
01 mars 1570,5.33,3,2.2,3.5
01 avril 1570,5.33,3,2.2,3.2
03 mai 1570,5.5,3,2.2,3.5
03 juin 1570,5.25,3.5,2.5,3.4
01 juillet 1570,4.88,2.4,2.3,2.9
02 août 1570,5.58,2.65,1.95,3.2
02 septembre 1570,5.58,3,2,3.15
04 octobre 1570,5.88,4,2.4,3.6
04 novembre 1570,5.88,4.25,2.7,4
02 décembre 1570,6,3.75,2.8,4
03 janvier 1571,6.25,4,3,4
03 février 1571,6.75,4.13,3.5,4.6
03 mars 1571,6.5,4.25,3.4,4.5
04 avril 1571,6,4,3.13,3.6
02 mai 1571,6,3.5,3,4
02 juin 1571,6.17,4.25,2.9,3.63
04 juillet 1571,6.42,3.75,2.8,3.7
